id,title,filtered_words_str,label
R129,New Report on Election,new report election audience late unit seat. late project board. experts discuss ongoing developments election.,REAL
R227,New Report on Climate Change,new report climate change first cultural front particularly western with. federal second seat draw say cold without. experts discuss ongoing developments climate change.,REAL
F231,Aliens Confirmed by Sources,aliens confirmed sources new painting red network hour. resource church environmental participant skill gun meeting. administration election good. — shocking claims aliens surface internet.,FAKE
R066,New Report on Policy,new report policy method picture author. weight notice let draw. point guess production low. experts discuss ongoing developments policy.,REAL
F095,Mind Control Confirmed by Sources,mind control confirmed sources visit cost option ten benefit region. appear road relationship wait shoulder care people. gas large argue big along join. — shocking claims mind control surface internet.,FAKE
R174,New Report on Policy,new report policy keep like relationship newspaper. series thought fill manager put. change maintain republican. experts discuss ongoing developments policy.,REAL
R201,New Report on Public Health,new report public health plan result third upon second best. total seem exist. system toward home military health whole difficult. rise movement price season. experts discuss ongoing developments public health.,REAL
R072,New Report on Education,new report education image society option oil notice child. brother black catch point. often heavy worry half. experts discuss ongoing developments education.,REAL
R064,New Report on Research,new report research kid first answer story create. sell resource detail newspaper. store green low mouth around pm. experts discuss ongoing developments research.,REAL
F037,Miracle Drug Confirmed by Sources,miracle drug confirmed sources meeting effect state cup garden. language congress strong where. offer anyone part take. — shocking claims miracle drug surface internet.,FAKE
R170,New Report on Technology Breakthrough,new report technology breakthrough prevent focus trial. research miss save. experts discuss ongoing developments technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,celebrity scandal confirmed sources always character however ago rate hundred around. effect trouble camera maybe drive experience mrs cell. financial know seat return eat church of. fire family admit need sell. — shocking claims celebrity scandal surface internet.,FAKE
F048,Secret Cure Confirmed by Sources,secret cure confirmed sources current several year director instead expert. every anything apply information body offer. role size see company. — shocking claims secret cure surface internet.,FAKE
F082,Hoax Confirmed by Sources,hoax confirmed sources area yeah already keep. ago describe impact able hot. — shocking claims hoax surface internet.,FAKE
F187,Miracle Drug Confirmed by Sources,miracle drug confirmed sources identify explain return. — shocking claims miracle drug surface internet.,FAKE
F027,Miracle Drug Confirmed by Sources,miracle drug confirmed sources else available sea strategy expect. hear purpose least mother. space behind carry size half remember attorney. effect pay reach. — shocking claims miracle drug surface internet.,FAKE
F202,Hoax Confirmed by Sources,hoax confirmed sources news sometimes much study. middle possible deal. example expect north reveal pay memory large. score road citizen school. — shocking claims hoax surface internet.,FAKE
F197,Secret Cure Confirmed by Sources,secret cure confirmed sources fund star push news minute. congress director recently cold animal seem. — shocking claims secret cure surface internet.,FAKE
R128,New Report on Climate Change,new report climate change material us skill sea bill. better civil various difference. simple buy. experts discuss ongoing developments climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,government cover-up confirmed sources measure another grow mother list return. population kid visit build goal. couple order general. — shocking claims government cover-up surface internet.,FAKE
F117,Hoax Confirmed by Sources,hoax confirmed sources listen partner attack prevent ask. professor suggest one entire. still citizen main information artist. — shocking claims hoax surface internet.,FAKE
F173,Secret Cure Confirmed by Sources,secret cure confirmed sources without style become. including young yet. term science history receive stock reach remember. budget apply quickly hundred doctor traditional hotel. — shocking claims secret cure surface internet.,FAKE
F024,Aliens Confirmed by Sources,aliens confirmed sources agency care nor. letter follow measure discussion economic try. — shocking claims aliens surface internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,celebrity scandal confirmed sources color sport hospital citizen wrong foot allow. century according return minute. — shocking claims celebrity scandal surface internet.,FAKE
R247,New Report on Public Health,new report public health behavior adult writer fund. economy skill however walk fish example like. natural official amount artist material. experts discuss ongoing developments public health.,REAL
F226,Government Cover-Up Confirmed by Sources,government cover-up confirmed sources first sound similar skin support pretty tax. car everyone. land top. — shocking claims government cover-up surface internet.,FAKE
F100,Flat Earth Confirmed by Sources,flat earth confirmed sources listen rock step check. — shocking claims flat earth surface internet.,FAKE
